name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Manchester,2021-08-09,19.2,12.7,15.4,19.2,12.7,15.4,11.7,79.4,0.833,100,12.5,rain,0,0,38.2,18.4,230.2,1008.5,69.1,43.3,154.8,13.3,7,,2021-08-09T05:38:22,2021-08-09T20:49:28,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,03318099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-10,19.9,12.8,16.1,19.9,12.8,16.1,12.6,80.8,0.741,100,8.33,rain,0,0,41,18.7,276.1,1013.5,63.7,40.6,171.2,14.7,7,,2021-08-10T05:40:05,2021-08-10T20:47:27,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-11,19.2,12,15.8,19.2,12,15.8,13.1,84.7,0.172,100,8.33,rain,0,0,46.4,17.1,191.4,1015.4,81.5,37.8,81.3,6.9,4,,2021-08-11T05:41:48,2021-08-11T20:45:24,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-12,20,9.7,15.5,20,8.6,15.4,10.8,75.9,2.194,100,4.17,rain,0,0,47.9,18.7,211.7,1015.4,44.8,38,181.8,15.6,5,,2021-08-12T05:43:31,2021-08-12T20:43:20,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-13,20.4,12.6,16.3,20.4,12.6,16.3,11.1,72.5,0,0,0,,0,0,48.2,28.9,239.8,1017,50.3,34.5,222.2,19.2,8,,2021-08-13T05:45:15,2021-08-13T20:41:15,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-14,17,13.7,15.2,17,13.7,15.2,12.1,82.2,0.217,100,8.33,rain,0,0,36.4,17.8,248.2,1017.9,86.4,28.4,87.5,7.5,3,,2021-08-14T05:46:59,2021-08-14T20:39:09,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2021-08-15,17.9,13,15.7,17.9,13,15.7,13.3,86,0.713,100,20.83,rain,0,0,45.5,19.3,275.8,1012,80.2,34.9,98.3,8.2,3,,2021-08-15T05:48:43,2021-08-15T20:37:01,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-16,16.5,13.2,14.3,16.5,13.2,14.3,11,80.9,0.356,100,4.17,rain,0,0,56.1,24.8,303.3,1016.7,77,19.3,102.4,8.8,4,,2021-08-16T05:50:27,2021-08-16T20:34:52,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2021-08-17,16.2,13.3,14.5,16.2,13.3,14.5,13.4,93,1.626,100,29.17,rain,0,0,55.7,23.3,292.8,1018.6,84.1,15.8,68.8,5.9,3,,2021-08-17T05:52:11,2021-08-17T20:32:42,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,F5450,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-18,15.8,13.8,14.8,15.8,13.8,14.8,13.2,90,0.486,100,12.5,rain,0,0,58.7,22.4,293.4,1016.5,90.7,29.3,47.6,4,2,,2021-08-18T05:53:56,2021-08-18T20:30:31,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03346099999,F5450,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
Manchester,2021-08-19,18,13.6,15.4,18,13.6,15.4,13.6,89.3,0.799,100,37.5,rain,0,0,36.4,15.1,237.7,1012.6,84.3,27.1,71.3,6.2,2,,2021-08-19T05:55:40,2021-08-19T20:28:19,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03318099999,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-20,21.1,14.2,17.5,21.1,14.2,17.5,14.6,84.3,0.747,100,4.17,rain,0,0,25.9,11.4,192.1,1014.2,81.7,38.2,124.6,10.9,5,,2021-08-20T05:57:25,2021-08-20T20:26:06,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03346099999,F5450,03330099999,D6643,03344099999,03316099999,03351099999,03321099999"
Manchester,2021-08-21,17.6,14.7,16.3,17.6,14.7,16.3,15.2,93.6,4.245,100,41.67,rain,0,0,25.9,12.1,163.6,1014.4,79.2,24.5,57.9,5,2,,2021-08-21T05:59:09,2021-08-21T20:23:52,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,03330099999,D6643,03344099999,F1692,03316099999,03351099999,03321099999"
